Unnamed: 0,time,type,chap,detaT
125105,2014-10-22 21:46:07,problem_graded,chap2,14
125127,2014-10-22 21:48:40,problem_show,chap2,14
125128,2014-10-22 21:48:41,problem_show,chap2,14
125129,2014-10-22 21:48:46,problem_show,chap2,14
125145,2014-10-22 21:52:48,page_close,chap2,14
125149,2014-10-22 21:52:58,page_close,chap2,14
125332,2014-10-22 22:14:22,page_close,chap2,14
138395,2014-10-24 22:46:41,page_close,chap2,16
138407,2014-10-24 22:47:51,page_close,chap4,2
138408,2014-10-24 22:47:51,video_event,chap4,2
139806,2014-10-25 8:12:28,page_close,chap4,2
139808,2014-10-25 8:13:19,page_close,chap4,2
139809,2014-10-25 8:13:19,video_event,chap4,2
139814,2014-10-25 8:13:55,page_close,chap4,2
139815,2014-10-25 8:13:56,video_event,chap4,2
139816,2014-10-25 8:14:13,page_close,chap4,2
139817,2014-10-25 8:14:13,video_event,chap4,2
139860,2014-10-25 8:27:08,problem_check,chap4,2
139872,2014-10-25 8:28:31,problem_check,chap4,2
139873,2014-10-25 8:28:38,page_close,chap4,2
139874,2014-10-25 8:28:38,video_event,chap4,2
140035,2014-10-25 8:56:47,page_close,chap4,2
140036,2014-10-25 8:56:47,video_event,chap4,2
149097,2014-10-26 8:43:29,page_close,chap4,3
149100,2014-10-26 8:43:33,page_close,chap4,3
149101,2014-10-26 8:43:39,page_close,chap4,3
149126,2014-10-26 8:50:05,problem_check,chap4,3
149127,2014-10-26 8:50:46,problem_check,chap4,3
149128,2014-10-26 8:50:50,page_close,chap4,3
149129,2014-10-26 8:50:50,video_event,chap4,3
149152,2014-10-26 8:55:25,problem_check,chap4,3
149154,2014-10-26 8:55:33,problem_check,chap4,3
149157,2014-10-26 8:55:37,page_close,chap4,3
149158,2014-10-26 8:55:37,video_event,chap4,3
149168,2014-10-26 8:56:09,page_close,chap4,3
149169,2014-10-26 8:56:09,video_event,chap4,3
149189,2014-10-26 8:58:21,seq_goto,chap4,3
149206,2014-10-26 8:59:53,problem_check,chap4,3
149209,2014-10-26 9:00:05,problem_check,chap4,4
149210,2014-10-26 9:00:10,page_close,chap4,4
168907,2014-10-27 18:34:22,page_close,chap4,5
168921,2014-10-27 18:34:58,page_close,chap4,5
168927,2014-10-27 18:35:22,page_close,chap4,5
168928,2014-10-27 18:35:26,page_close,chap4,5
169020,2014-10-27 18:40:36,page_close,chap4,5
169293,2014-10-27 18:54:55,page_close,chap4,5
206107,2014-10-29 17:52:28,page_close,chap4,7
206112,2014-10-29 17:54:47,page_close,chap5,0
206113,2014-10-29 17:54:47,video_event,chap5,0
206114,2014-10-29 17:55:09,page_close,chap5,0
206115,2014-10-29 17:55:09,video_event,chap5,0
206131,2014-10-29 18:00:35,problem_check,chap5,0
206132,2014-10-29 18:01:13,problem_check,chap5,0
206133,2014-10-29 18:01:17,page_close,chap5,0
206134,2014-10-29 18:01:17,video_event,chap5,0
206167,2014-10-29 18:08:25,problem_check,chap5,0
206171,2014-10-29 18:08:44,problem_check,chap5,0
